Title,Detail URL,Location,Bedrooms,Bathrooms,House Size,Price,Property Type,Listing Date,Amenities
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116897283,Westlands,1,1,56 m²,KSh 6 800 000,Apartment / Flat,07-Feb-26,"Luminara elevates everyday living with resort-style facilities:, ?? Infinity Rooftop Pool with spectacular city views, ?? Sky Lounge & Rooftop Dining Club — perfect for entertaining, ? Stylish Café & Business Lounge for work and leisure, ?? Fully Equipped Gym & Wellness Studio, ??? Concierge Reception with grand lobby and hotel-style service, ?? Reliable Backup Power & Water Supply, ?? Four High-Speed Elevators for seamless movement, Sarit Centre & Westgate Shopping Mall, Major corporate offices and business hubs, Premier hospitals like MP Shah & Aga Khan University Hospital, Popular restaurants, cafés, and entertainment spots"
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-lavington-116859697,Lavington,4,4,130 m²,KSh 13 000 000,Apartment / Flat,29-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116822119,Kileleshwa,2,2,80 m²,KSh 7 150 000,Apartment / Flat,20-Jan-26,
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kileleshwa-116859696,Kileleshwa,4,4,130 m²,KSh 13 000 000,Apartment / Flat,29-Jan-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-syokimau-116844187,Syokimau,3,3,136 m²,KSh 10 500 000,Apartment / Flat,25-Jan-26,
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116854512,Westlands,4,4,150 m²,KSh 15 000 000,Apartment / Flat,28-Jan-26,
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116837211,Westlands,4,5.5,202 m²,KSh 27 000 000,Apartment / Flat,23-Jan-26,"Life at Amani Residence extends beyond your apartment — enjoy a collection of luxury facilities designed for wellness, recreation, and community living:, Fully Equipped Gym – Stay active with convenience, Two Heated Infinity Pools – Perfect for relaxation and fitness, Children’s Playgrounds – Safe and fun spaces for little ones, Yoga Studio – Calm, wellness-focused retreat, Reading Lounge / Community Library – Quiet spaces for learning and leisure, Borehole Water + Purifier – Clean, reliable water supply, Full Backup Generator – Continuous power supply, 24/7 Security with CCTV – Total peace of mind, BBQ Area & Relaxation Zone – Ideal for family and community gatherings, Car–Pedestrian Separation – Enhanced safety and comfort"
Industrial Property,https://www.property24.co.ke/industrial-property-for-sale-in-industrial-area-116933948,Industrial Area,2,2,1 acres,KSh 40 000 000,Industrial Property,17-Feb-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116951039,Westlands,2,2,118 m²,KSh 18 000 000,Apartment / Flat,21-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116831767,Kileleshwa,1,1,51 m²,KSh 4 720 000,Apartment / Flat,22-Jan-26,"Rooftop swimming pool, Rooftop gym, Café / restaurant, Residents’ lounge, Landscaped terrace deck & courtyard, Patio gaming zone, Borehole water supply, Backup generator, Smart lock access system, Children’s play area, High-speed lifts, Reception and lobby area, 24/7 security, Gs Arcade Mall – 2 minutes drive, Quickmart Junction – 5 minutes drive, Lavington Mall – 7 minutes drive, Yaya Centre – 9 minutes drive, Ideal for rental investment or owner-occupation in a prime Kileleshwa location., Contact/ whatsapp: +254721514314"
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-116899778,Kilimani,4,4,200 m²,KSh 20 100 000,Apartment / Flat,09-Feb-26,
5 Bedroom House,https://www.property24.co.ke/5-bedroom-house-for-sale-in-muthaiga-116853961,Muthaiga,5,5,400 m²,KSh 104 900 000,House,27-Jan-26,"?? Secure gated community, ?? 24/7 security, ?? Why This Property?, Prime Muthaiga land, generous acreage, strong redevelopment potential, and a rare price point for the location., ?? DM for more details or to schedule a private viewing."
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-116844743,Kilimani,4,4,130 m²,KSh 13 000 000,Apartment / Flat,26-Jan-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kileleshwa-116858601,Kileleshwa,3,3,160 m²,KSh 13 600 000,Apartment / Flat,28-Jan-26,"The future of luxury living in Kileleshwa is just around the corner, and you can be a part of it. Don’t miss out on this opportunity."
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116877295,Westlands,1,1,56 m²,KSh 9 000 000,Apartment / Flat,03-Feb-26,"•	Fully equipped gym, •	Heated swimming pool, •	Children’s playground, •	Residents’ recreation club, •	Yoga room, •	Reading lounge, •	Coffee bar, •	24-hour security with CCTV surveillance, •	Borehole water with purification system, •	Full backup generator, Nearby Public Facilities & Conveniences, Shopping & Lifestyle, •	Sarit Centre, •	Westgate Mall, •	GTC Mall, •	The Mall, •	One Africa Place, Dining, Hotels & Entertainment, •	Mövenpick Hotel, •	Kempinski Hotel, •	Artcaffé, •	The Alchemist, •	Urban Eatery, Healthcare, •	M.P. Shah Hospital, •	Aga Khan University Hospital, Education, •	Oshwal Academy, Business & Commercial Hubs, •	Riverside corporate offices, •	Parklands business zone, Accessibility"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-upper-hill-116941175,Upper Hill,1,1,70 m²,KSh 7 900 000,Apartment / Flat,19-Feb-26,"??Rooftop heated swimming pool, ??Fully equipped gym, ??Steam and Sauna, ??Children play area, ??Full back up generator, ??Shopping Mart, ??Public reading room, ??2 lifts per block, For viewing and more information  call/ WhatsApp  on 0724415336"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116825897,Kilimani,1,1,62 m²,KSh 6 820 000,Apartment / Flat,20-Jan-26,"Inside the Apartments, Spacious open-plan layouts with natural light, Modern fitted kitchens with premium cabinetry, En-suite bedrooms finished with elegance, DSQ available in select 2 & 3-bedroom units, Balconies with leafy and city views, Heated rooftop swimming pool, Gym and yoga studio, Coffee bar and co-working space, Indoor children’s play area, CCTV, smart access and 24/7 security, Borehole water, ample storage and backup generator, 1 Bedroom Apartments, 2 Bedroom Apartments, 3 Bedroom + DSQ, Cash Payment, Balance shall be paid within 30 Days"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116903232,Westlands,1,1,70 m²,KSh 6 500 000,Apartment / Flat,09-Feb-26,"Enjoy a premium, five-star living experience with:, •	Heated rooftop swimming pool, •	Fully equipped gym, •	High-speed lifts, •	On-site mini mart, •	Children’s play area, •	Landscaped green relaxation spaces, •	24-hour security & CCTV, •	Backup generator for uninterrupted power, •	Elegant, modern interior finishes, Visit our Sales Centre today for bookings and more details."
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116842236,Kileleshwa,1,1,63 m²,KSh 5 850 000,Apartment / Flat,24-Jan-26,"Outdoor Swimming Pool, Fully Equipped Gym, Sauna & Steam Room, Yoga Room, Children’s Play Area, Private Cinema Room, Games Room, Cafeteria & Restaurant, Health Centre (for Residents), Mini Golf Course, Tennis & Badminton Courts, Borehole Water Supply, Backup Generator, High-Speed Lifts, Top-Notch Finishes, For Inquiries or Viewing Arrangements:, Contact / WhatsApp: +254 721 514 314"
5 Bedroom House,https://www.property24.co.ke/5-bedroom-house-for-sale-in-karen-116923898,Karen,5,5,450 m²,KSh 150 000 000,House,14-Feb-26,"•	????? Staff quarters for two, •	?? Backup generator and power supply systems, •	?? Borehole and city council water, •	?? Perimeter wall with electric fencing and 24/7 security, •	?? CCTV surveillance, •	? Wheelchair accessible, Community Features:, •	????? Jogging track encircling the estate for health and leisure, •	?? Modern Clubhouse with:, o	Swimming pool, o	Steam & sauna, o	BBQ area, High-End Lifestyle and Accessibility in Karen:, ??? Shopping Malls: The Hub, Waterfront, Galleria, The Well, Hardy Post, ?? Restaurants & Cafés: Talisman, Tamambo, Java, Mateo’s, Arte Café, Embark, Cultiva, News Café, ?? Leisure Sites: Giraffe Centre, Karen Blixen Museum, Ololua Nature Trail, Whether you're looking to rent or invest, this rare gem in Karen offers unmatched value, serenity, and luxury., ?? Schedule a viewing today – Contact 0725729996"
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-syokimau-116880847,Syokimau,4,4,172 m²,KSh 13 900 000,Apartment / Flat,03-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116837239,Westlands,1,1,70 m²,KSh 8 800 000,Apartment / Flat,23-Jan-26,"Mogotio Oasis offers a new global standard of luxury hospitality:, Wellness: Private gym, clubhouse, and golf putting green., Convenience: On-site café, club lounge, lobby bar, children's play area, and professional laundry facilities., Next-Gen Smart Technology & Security, Intelligent Matrix: 24/7 CCTV surveillance, electronic fencing, biometric access, and dedicated security personnel., Always-On Resilience: Full backup water supply and emergency generators., Refined Nordic Aesthetics, Our 1 to 3-bedroom residences feature elite architectural design and turnkey delivery:, Panoramic Living: 8.7m ultra-wide spans with floor-to-ceiling windows., Global Standards: Fully equipped with Siemens kitchen suites and advanced water heaters., Wealth Engine: ROI Analysis & Monthly Income, Mogotio Oasis is a steadfast engine for asset appreciation and high rental yields. With a high-end housing supply gap of 1:8, these units represent a premier ""Store of Value""., Projected Monthly Rental Income (Furnished Units):, Studio Apartments: KSh 130,000 – 150,000., 1-Bedroom: KSh 180,000 – 200,000., 2-Bedroom: KSh 280,000 – 300,000., 3-Bedroom: KSh 330,000 – 350,000., Reserve Your Legacy Now, Select units available across Blocks A, B, and C:, APARTMENT PRICE LIST, 1-Bedroom Units, • Type D1 – 41 sqm, • Type A3 – 57.42 sqm, • Type A1 – 59.83 sqm, • Type A3 – 59.4 sqm, • Type A2 – 69.83 sqm, 2-Bedroom Units, • Type B3 – 92.6 sqm, • Type B1 – 96.81 sqm, • Type B2 – 116.1 sqm, 3-Bedroom Units, • Type B3-1 – 135.65 sqm, • Type C1 – 158.7 sqm, ?? Call/WhatsApp: +254 721 514314, Prices vary by floor level. Limited units available., Call/WhatsApp: +254 721 514314"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116793938,Westlands,1,1,58 m²,KSh 8 000 000,Apartment / Flat,13-Jan-26,"• Heated rooftop pool with panoramic city views, • State-of-the-art gym & wellness suite, • VR golf simulator & exclusive private cinema, • Residents’ lounge & professional business meeting spaces, • Trendy coffee shop & lounge bar, • Onsite mini mart & pharmacy for ultimate convenience, • Kids’ play area & indoor gaming zone, • Full power backup, borehole water supply, and high security, ?? Ideal for Living or Letting, ?? Book a Site Visit or Get More Info Now – +254 787 855 213"
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116887521,Westlands,4,4,150 m²,KSh 15 000 000,Apartment / Flat,05-Feb-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116792883,Kilimani,2,2,105 m²,KSh 9 500 000,Apartment / Flat,12-Jan-26,"It is in close proximity to shopping facilities such as The Junction Mall,, The development comprises of affordable and spacious:, Project Features:, Full backup generator, Well-equipped gym, Heated swimming pool, Children's play area, Borehole water High, speed lifts, Circular runway"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116808101,Westlands,1,1,68 m²,KSh 8 940 000,Apartment / Flat,15-Jan-26,"# High-Speed Lifts: 2 per block for seamless movement, # Heated Swimming Pool: Enjoy year-round luxury, # Kids’ Play Area: Safe and fun for children, # Café: Relax and unwind, # Yoga Studio: Wellness at your doorstep, # CCTV Surveillance: 24/7 security monitoring, # Water Borehole: Reliable water supply, # Mini Shop: Convenience within the residence, # Control Room: Enhanced security and monitoring, # Modern, High-Quality Finishing: Crafted for luxury, Seamlessly blends luxury, convenience, and an unbeatable location., Secure your unit today! Completion Date: Q3 2027, PAYMENT"
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116941850,Westlands,4,4,150 m²,KSh 47 000 000,Apartment / Flat,19-Feb-26,
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116845150,Westlands,4,4,120 m²,KSh 12 000 000,Apartment / Flat,26-Jan-26,
6 Bedroom House,https://www.property24.co.ke/6-bedroom-house-for-sale-in-runda-116933355,Runda,6,7,1.2 acres,KSh 600 000 000,House,17-Feb-26,"Dry kitchen with a pantry, Dining  area open to the main lounge, Mini lounge, common washroom, 2 bedrooms ensuite, dry laundry  area, open family room with a balcony, 3 bedrooms ensuite with walk-in closets, study room, lounge with a balcony facing the back, Main bedroom with closet space &a balcony facing the front, study/safe room, Bathroom with an outside shower, walk-in closet, A lift From the ground  floor, one bedroom  with a kitchenette & a lounge, Wet kitchen, Laundry area, Dog structure (3dogs), changing room(swimming), one room ensuite, Heated pool, car shade upto 4cars, His &hers washroom at the gate, Barbecue area"
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-syokimau-116881335,Syokimau,4,4,1 m²,KSh 13 900 000,Apartment / Flat,04-Feb-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-parklands-116891069,Parklands,3,3,230 m²,KSh 21 000 000,Apartment / Flat,05-Feb-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116826153,Kilimani,3,4,205 m²,KSh 32 000 000,Apartment / Flat,20-Jan-26,"Design & Comfort, Ultra-modern architecture with botanical integration, Bespoke interiors with imported fittings, Low-density layout for privacy and tranquility, Smart, Secure & Sustainable, 500 Mbps high-speed internet, Instant water heating systems, Private cloud-based security servers, Leisure & Wellness, Heated swimming pool, Fully equipped gym & boxing studio with trainers, Private cinema room, Children’s play area, Private lift lobbies with dual access, Exclusive Resident Services, 24-hour concierge & butler services, On-site reception and maintenance team, Minimart, salon & coffee shop within the complex, Location Advantage, 10 minutes to Upper Hill & State House, 15 minutes to the CBD, Why Invest Here, ? Generously sized apartments with panoramic views, ? Strong capital appreciation and rental yield potential, ?? Viewings strictly by appointment., Contact us today for more details or to book a private tour."
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116802896,Kilimani,2,2,117 m²,KSh 14 700 000,Apartment / Flat,14-Jan-26,"# 10 High-Speed Elevators, # Events & Community Center, # Kids’ Play Zone with Cycling Track, # Heated Swimming Pool for all-season relaxation, # Fully Equipped Gym for active living, # CCTV Surveillance & 24/7 Security with Intercom access, # Reliable Borehole & County Water Connection, # Elegant Light Fixtures & Large Windows for ample natural light, # Modern Fitted Kitchens with premium appliances, # Extended Balconies offering scenic city views, Available Units & Prices, Why Invest Here?, High Rental Yields: Perfect for investors seeking strong returns through serviced or long-term rentals., Luxury Urban Living: Designed for those who value comfort, convenience, and a dynamic city lifestyle."
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116945096,Westlands,2,2,52 m²,KSh 15 200 000,Apartment / Flat,19-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116788197,Westlands,1,1,58 m²,KSh 8 700 000,Apartment / Flat,11-Jan-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116890451,Westlands,1,1,65 m²,KSh 9 650 000,Apartment / Flat,05-Feb-26,"Signature Pool Collection: Enjoy a quiet courtyard pool or escape to the show-stopping rooftop infinity pool on the 30th floor, offering uninterrupted skyline views., Work, Meet, Connect: A grand double-height lobby, executive conference lounge, and a curated coffee spot provide ideal spaces for both business and social interaction., Designed for Strong Returns, Surrounded by global institutions such as Google and the World Bank, Grosvenor Residences is perfectly positioned to attract premium tenants, including expatriates, senior executives, and corporate travellers., Executive One-Bedroom Apartments, Why This Investment Stands Out, Rental Demand: Ideal for high-end short stays and long-term corporate leases, Claim Your Position, Developments of this calibre and location are rare—and opportunities like this don’t last. Whether you’re building a resilient property portfolio or securing a distinguished city residence, Grosvenor Residences delivers on prestige, performance, and future value., Don’t watch the skyline change. Be part of it., ?? Call or WhatsApp 0700 541 508 to book a private site tour."
5 Bedroom Townhouse,https://www.property24.co.ke/5-bedroom-townhouse-for-sale-in-lavington-116944279,Lavington,5,6,102 m²,KSh 95 000 000,Townhouse,19-Feb-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116788125,Kilimani,3,4,142 m²,KSh 15 620 000,Apartment / Flat,11-Jan-26,"Inside the Apartments, Spacious open-plan layouts with natural light, Modern fitted kitchens with premium cabinetry, En-suite bedrooms finished with elegance, DSQ available in select 2 & 3-bedroom units, Balconies with leafy and city views, Heated rooftop swimming pool, Gym and yoga studio, Coffee bar and co-working space, Indoor children’s play area, CCTV, smart access and 24/7 security, Borehole water, ample storage and backup generator, 1 Bedroom Apartments, 2 Bedroom Apartments, 3 Bedroom + DSQ, Cash Payment, Balance shall be paid within 30 Days"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-syokimau-116853632,Syokimau,3,3,143 m²,KSh 9 700 000,Apartment / Flat,27-Jan-26,"?Large windows that allows alot of natural light in the spacious  rooms, ?spacious open/closed kitchen with ample storage  space, ?Large wardrobe with enough  storage space for his/hers, ?all the units comes with a balcony, ?high speed lifts; two per floor, ?2 boreholes, ?Semi Olympic size swimming pool with both the children and adults sections, ?Kids play area, ?Shopping complex, ?24 hour manned security gate, ?CCTV surveillance, ? Among others, Asking prices, A. Studio size is 38sqm selling at ksh 3.5m, b. One Bedroom size is 68sqm selling at ksh 5.5m, c. Two Bedroom size is 109sqm selling at ksh 7.5m, d.Three bedroom without dsq Size is 143sqm selling  at ksh 9.7m, e.Three bedroom with a dsq Size is 155sqm selling  at ksh 11M, F. Four Bedroom with a dsq Size is 173sqm selling at ksh 13.5M, For viewing and more information call/WhatsApp on 0724415336"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116776546,Kileleshwa,2,2,111 m²,KSh 10 400 000,Apartment / Flat,07-Jan-26,"58 sqm — KSh 5.8M, 64 sqm — KSh 6.3M, 66 sqm — KSh 6.5M, 82 sqm — KSh 8.2M, 111 sqm — KSh 10.4M, 119 sqm — KSh 11.2M, 128 sqm — KSh 12.5M, 135 sqm — KSh 12.7M, 136 sqm — KSh 12.8M, Infinity swimming pool, Fully equipped gym & yoga studio, Kids play area, Coffee bar &, Massage & wellness room, Borehole & full backup generator, Prime Kileleshwa location, High rental demand & excellent ROI, Spacious layouts with elegant interiors, Peaceful, green surroundings with easy city access"
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116813864,Westlands,4,4,210 m²,KSh 21 000 000,Apartment / Flat,17-Jan-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-syokimau-116854342,Syokimau,1,1,1 m²,KSh 4 800 000,Apartment / Flat,28-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116916645,Kilimani,2,2,105 m²,KSh 12 300 000,Apartment / Flat,12-Feb-26,"Modern Studios (43sqm): From 5.2M, Spacious 1 Bedrooms (75sqm): From 8.7M, Elegant 2 Bedrooms (105sqm): From 12.3M, Executive 3 Bedrooms (134sqm): From 15.2M, Infinity Pool with panoramic city views, State-of-the-art Gym, Secure Children’s Play Area, In-house Coffee House, Borehole & Full Backup Generator, INVESTMENT & RENTAL POTENTIAL, Studio: 50k / 5k, 1 Bed: 80k / 8k, 2 Bed: 100k / 10k, 3 Bed: 130k / 13k"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-syokimau-116854350,Syokimau,1,1,50 m²,KSh 4 800 000,Apartment / Flat,28-Jan-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116773074,Kileleshwa,1,1,60 m²,KSh 5 110 000,Apartment / Flat,06-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116773168,Westlands,2,2,90 m²,KSh 14 000 000,Apartment / Flat,06-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-syokimau-116843332,Syokimau,2,2,109 m²,KSh 7 500 000,Apartment / Flat,25-Jan-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116802923,Kilimani,3,4,173 m²,KSh 22 000 000,Apartment / Flat,14-Jan-26,"# 10 High-Speed Elevators, # Events & Community Center, # Kids’ Play Zone with Cycling Track, # Heated Swimming Pool for all-season relaxation, # Fully Equipped Gym for active living, # CCTV Surveillance & 24/7 Security with Intercom access, # Reliable Borehole & County Water Connection, # Elegant Light Fixtures & Large Windows for ample natural light, # Modern Fitted Kitchens with premium appliances, # Extended Balconies offering scenic city views, Available Units & Prices, Why Invest Here?, High Rental Yields: Perfect for investors seeking strong returns through serviced or long-term rentals., Luxury Urban Living: Designed for those who value comfort, convenience, and a dynamic city lifestyle."
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116769599,Westlands,1,1,65 m²,KSh 6 500 000,Apartment / Flat,05-Jan-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116776552,Kileleshwa,1,1,64 m²,KSh 6 300 000,Apartment / Flat,07-Jan-26,"58 sqm — KSh 5.8M, 64 sqm — KSh 6.3M, 66 sqm — KSh 6.5M, 82 sqm — KSh 8.2M, 111 sqm — KSh 10.4M, 119 sqm — KSh 11.2M, 128 sqm — KSh 12.5M, 135 sqm — KSh 12.7M, 136 sqm — KSh 12.8M, Infinity swimming pool, Fully equipped gym & yoga studio, Kids play area, Coffee bar &, Massage & wellness room, Borehole & full backup generator, Prime Kileleshwa location, High rental demand & excellent ROI, Spacious layouts with elegant interiors, Peaceful, green surroundings with easy city access"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116802948,Kilimani,3,4,182 m²,KSh 24 000 000,Apartment / Flat,14-Jan-26,"# 10 High-Speed Elevators, # Events & Community Center, # Kids’ Play Zone with Cycling Track, # Heated Swimming Pool for all-season relaxation, # Fully Equipped Gym for active living, # CCTV Surveillance & 24/7 Security with Intercom access, # Reliable Borehole & County Water Connection, # Elegant Light Fixtures & Large Windows for ample natural light, # Modern Fitted Kitchens with premium appliances, # Extended Balconies offering scenic city views, Available Units & Prices, Why Invest Here?, High Rental Yields: Perfect for investors seeking strong returns through serviced or long-term rentals., Luxury Urban Living: Designed for those who value comfort, convenience, and a dynamic city lifestyle."
5 Bedroom House,https://www.property24.co.ke/5-bedroom-house-for-sale-in-karen-116897163,Karen,5,5,450 m²,KSh 150 000 000,House,07-Feb-26,"•	????? Staff quarters for two, •	?? Backup generator and power supply systems, •	?? Borehole and city council water, •	?? Perimeter wall with electric fencing and 24/7 security, •	?? CCTV surveillance, •	? Wheelchair accessible, Community Features:, •	????? Jogging track encircling the estate for health and leisure, •	?? Modern Clubhouse with:, o	Swimming pool, o	Steam & sauna, o	BBQ area, High-End Lifestyle and Accessibility in Karen:, ??? Shopping Malls: The Hub, Waterfront, Galleria, The Well, Hardy Post, ?? Restaurants & Cafés: Talisman, Tamambo, Java, Mateo’s, Arte Café, Embark, Cultiva, News Café, ?? Leisure Sites: Giraffe Centre, Karen Blixen Museum, Ololua Nature Trail, Whether you're looking to rent or invest, this rare gem in Karen offers unmatched value, serenity, and luxury., ?? Schedule a viewing today – Contact 0725729996"
5 Bedroom Townhouse,https://www.property24.co.ke/5-bedroom-townhouse-for-sale-in-westlands-116902630,Westlands,5,5,500 m²,KSh 42 000 000,Townhouse,09-Feb-26,
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kileleshwa-116783194,Kileleshwa,4,5,228 m²,KSh 26 000 000,Apartment / Flat,08-Jan-26,"#Fully equipped gym, #Backup generator, #Swimming pool & Intercom, #CCTV surveillance, #Recreational hall, #Indoor kids Play area, #Satellite Dish, #Borehole, #High speed lifts, #Restaurant, #Coffee shop, #Multi-functional room, #And other detailed Numerous Features, Spacious & Elegantly Privileged Apartments with:, Royal Interior Design & Modern Room Fixtures, Executive Lounge & Generous Dining Area, Beautifully Appointed En-Suite Bedrooms, Roomy Balconies in Master Bedroom & Living Room, Modern Themed Design., Not forgetting important study room for young ones, Exquisite Finishings in all areas of the House/Apartment, Prices are as follows:"
Vacant Land / Plot,https://www.property24.co.ke/vacant-land-plot-for-sale-in-uthiru-116936138,Uthiru,3,3,110 m²,KSh 45 000 000,Vacant Land / Plot,18-Feb-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116843231,Kilimani,2,2,100 m²,KSh 11 000 000,Apartment / Flat,25-Jan-26,"68 Sqm at KShs. 7.15 Million, 94 Sqm at KShs. 10.3 Million - Master Ensuite, 96 Sqm at KShs. 10.55 Million - Master Ensuite, 100 Sqm at KShs. 11 Million - Master Ensuite, 135 Sqm at KShs. 14.8 Million - Two Ensuite, 173 Sqm at KShs. 18.9 Million - All Ensuite Plus Dsq"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116897016,Westlands,2,2,100 m²,KSh 142 000 000,Apartment / Flat,07-Feb-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116843242,Kilimani,3,3,135 m²,KSh 14 800 000,Apartment / Flat,25-Jan-26,"94 Sqm at KShs. 10.3 Million - Master Ensuite, 96 Sqm at KShs. 10.55 Million - Master Ensuite, 100 Sqm at KShs. 11 Million - Master Ensuite, 135 Sqm at KShs. 14.8 Million - Two Ensuite, 173 Sqm at KShs. 18.9 Million - All Ensuite Plus Dsq"
Vacant Land / Plot,https://www.property24.co.ke/vacant-land-plot-for-sale-in-westlands-116920173,Westlands,3,3,110 m²,KSh 120 000 000,Vacant Land / Plot,13-Feb-26,
